Company Name,Contact Name,Contact Email,Tier,Status,Amount,Notes,Last Contact Date
Fabwoodworks,,,TBD,Committed,,Confirmed per Apr 3 HTV sync,2026-04-03
Orthodontic Clinic,,,TBD,Committed,,Confirmed per Apr 3 HTV sync,2026-04-03
KLA Corporation,Jim Damian,,Gold,Prospect,$1000,Large semiconductor company - strong tech fit,
Kern Health Systems,,,Gold,Prospect,$1000,Healthcare - community investment angle,
Chevron,,,Gold,Prospect,$1000,Major energy company - strong local presence,
Grimmway Farms,,,Silver,Prospect,$500,Major ag company - community presence,
Kern Venture Group,,,Silver,Prospect,$500,VC group - natural alignment with entrepreneurship,
CSUB Entrepreneurship,Jeremy Woods,,Silver,Prospect,$500,Academic partnership opportunity,
Launchpad,Natisha Johnson,,Silver,Prospect,$500,Entrepreneurship ecosystem connection,
Rabobank,,,Silver,Prospect,$500,Local bank - community investment,
California Resources Corporation,,,Silver,Prospect,$500,Energy company,
Wonderful Company,,,Silver,Prospect,$500,Large ag company,
Bolthouse Farms,,,Silver,Prospect,$500,Major ag company,
Dignity Health,,,Bronze,Prospect,$250,Healthcare system,
Bakersfield Californian,,,Bronze,Prospect,$250,Local media - coverage opportunity,
Mechanics Bank,,,Bronze,Prospect,$250,Local bank,
